X.1,SIndex,FullId,Station,Time,X,Y,Z,HPE,HPEm,RMSE,SensorValu,SensorUnit,nBasic,RxDetected,nRxDetecte,RxUsed,nRxUsed,Longitude,Latitude,DateTime,DateTimeLo,habitat
8,44285,A69-1604-28093,NA,2024/06/22 03:02:55.681,5011.350000000000364,5138.449999999999818,-1,2.273600000000000,NA,0.153900000000000,NA,NA,15,488550 486914 486912 487450 484753 486916 486918,7,488550 486914 486912 487450 484753 486916,6,-88.295832000000004,30.387565500000001,2024/06/22 03:02:55.681,2024/06/21 22:02:55.681,SAV
43,44988,A69-1604-28093,NA,2024/06/22 05:23:26.613,5026.439999999999600,5147.260000000000218,-1,4.762400000000000,NA,0.196100000000000,NA,NA,9,486914 488550 486912 487450 484753 486916 486918 486919 486917,9,486914 488550 486912 487450 484753 486916,6,-88.295674899999995,30.387644999999999,2024/06/22 05:23:26.613,2024/06/22 00:23:26.613,SAV
44,45014,A69-1604-28093,NA,2024/06/22 05:28:43.301,5030.319999999999709,5150.880000000000109,-1,6.575500000000000,NA,0.128900000000000,NA,NA,9,486914 488550 484753 486912 487450 486916 486915 486919 486909,9,486914 488550 484753 486912 487450 486916,6,-88.295634500000006,30.387677600000000,2024/06/22 05:28:43.301,2024/06/22 00:28:43.301,SAV
45,45029,A69-1604-28093,NA,2024/06/22 05:31:19.638,5029.800000000000182,5152.130000000000109,-1,9.168799999999999,NA,0.182900000000000,NA,NA,3,486914 488550 484753 487450 486919,5,486914 488550 484753 487450 486919,5,-88.295640000000006,30.387689000000002,2024/06/22 05:31:19.638,2024/06/22 00:31:19.638,SAV
46,45043,A69-1604-28093,NA,2024/06/22 05:33:28.841,5026.560000000000400,5151.430000000000291,-1,7.564400000000000,NA,0.175900000000000,NA,NA,6,488550 486914 486912 484753 487450 486916 486915 486919 486909 486917,10,488550 486914 486912 484753 487450 486916,6,-88.295673600000001,30.387682600000002,2024/06/22 05:33:28.841,2024/06/22 00:33:28.841,SAV
47,54322,A69-1604-28093,NA,2024/06/23 19:30:39.521,5020.170000000000073,5155.159999999999854,-1,9.370300000000000,NA,0.217400000000000,NA,NA,4,488550 486914 487450 484753 486916 486919,6,488550 486914 487450 484753 486916 486919,6,-88.295740199999997,30.387716200000000,2024/06/23 19:30:39.521,2024/06/23 14:30:39.521,SAV
49,54538,A69-1604-28093,NA,2024/06/23 20:23:16.356,4982.479999999999563,5133.220000000000255,-1,12.394299999999999,NA,0.000000000000000,NA,NA,1,486912 488550 486914,3,486912 488550 486914,3,-88.296132299999996,30.387518400000001,2024/06/23 20:23:16.356,2024/06/23 15:23:16.356,SAV
51,54777,A69-1604-28093,NA,2024/06/23 21:25:29.927,4991.500000000000000,5137.649999999999636,-1,3.447300000000000,NA,0.237300000000000,NA,NA,14,488550 486912 486914 487450 484753 486916,6,488550 486912 486914 487450 484753 486916,6,-88.296038499999995,30.387558299999998,2024/06/23 21:25:29.927,2024/06/23 16:25:29.927,SAV
53,54862,A69-1604-28093,NA,2024/06/23 21:48:23.826,5000.989999999999782,5135.029999999999745,-1,4.172300000000000,NA,0.086800000000000,NA,NA,12,488550 486914 487450 484753 486916 486909,6,488550 486914 487450 484753 486916 486909,6,-88.295939700000005,30.387534700000000,2024/06/23 21:48:23.826,2024/06/23 16:48:23.826,SAV
54,54867,A69-1604-28093,NA,2024/06/23 21:50:45.199,5019.970000000000255,5132.710000000000036,-1,3.734700000000000,NA,0.298900000000000,NA,NA,6,486914 488550 487450 484753 486916 486919 486909,7,486914 488550 487450 484753 486916 486919,6,-88.295742200000007,30.387513700000000,2024/06/23 21:50:45.199,2024/06/23 16:50:45.199,SAV
